iter	Logloss
0	0.6817601745
1	0.6709202974
2	0.6597401156
3	0.6497447721
4	0.6399850497
5	0.6305478016
6	0.6199463541
7	0.610532863
8	0.601546178
9	0.5929871998
10	0.584382674
11	0.5719133216
12	0.5608354689
13	0.5489542765
14	0.537190732
15	0.5262155288
16	0.5150678526
17	0.5062990431
18	0.4946336934
19	0.4830320957
20	0.473022276
21	0.4624569113
22	0.4529657878
23	0.4444706926
24	0.436391367
25	0.4284469702
26	0.4196132153
27	0.4125935743
28	0.4050132459
29	0.3981513425
30	0.3910753049
31	0.3839584395
32	0.3775092426
33	0.3713926598
34	0.3647059499
35	0.3581653768
36	0.351687597
37	0.3460731078
38	0.3403710544
39	0.3357556039
40	0.3306384347
41	0.3257650151
42	0.3203640564
43	0.315789957
44	0.3123387533
45	0.3081825088
46	0.3038057667
47	0.2998542091
48	0.2961546518
49	0.2926018489
50	0.2883223606
51	0.285818228
52	0.2819505786
53	0.2786821295
54	0.2758096811
55	0.2725022118
56	0.2702375305
57	0.2673216552
58	0.264537506
59	0.2617931534
60	0.2591616975
61	0.2563438887
62	0.2538203497
63	0.2514155122
64	0.2487395193
65	0.2466499423
66	0.2443637784
67	0.2423256415
68	0.2401159451
69	0.2379691032
70	0.2363534018
71	0.2344198122
72	0.2326776228
73	0.2306101385
74	0.2285761657
75	0.2265253915
76	0.2245849979
77	0.2226793503
78	0.2209501039
79	0.2192495972
80	0.217596173
81	0.2163375896
82	0.2147073614
83	0.2132723475
84	0.2117865724
85	0.2105472975
86	0.2091456069
87	0.2081309142
88	0.2067309417
89	0.2056614472
90	0.2043424786
91	0.2033924899
92	0.2021469365
93	0.2010751969
94	0.1999141086
95	0.1990411645
96	0.1978998999
97	0.1968085621
98	0.1957883747
99	0.1947003506
100	0.1938456199
101	0.19281397
102	0.1918405116
103	0.1909863307
104	0.1901418428
105	0.1894987128
106	0.1886185627
107	0.1877749983
108	0.1869632333
109	0.186319173
110	0.185687529
111	0.1849499931
112	0.1841608744
113	0.183383258
114	0.1826656817
115	0.1819664627
116	0.1812722149
117	0.180787497
118	0.180152996
119	0.1795289471
120	0.1789755379
121	0.1784274928
122	0.177841916
123	0.1773798407
124	0.1769672827
125	0.1765682081
126	0.1760546812
127	0.1755346269
128	0.1751611388
129	0.1746267882
130	0.1741885296
131	0.1737029229
132	0.1733649208
133	0.1728641982
134	0.1724026265
135	0.172049668
136	0.1717568345
137	0.1713245861
138	0.170930765
139	0.1705865049
140	0.1701801492
141	0.1698226602
142	0.1695527674
143	0.1692558863
144	0.1688945093
145	0.1685849305
146	0.1682219402
147	0.1678959095
148	0.167624928
149	0.1673261695
150	0.1669641517
151	0.1667191962
152	0.1664254721
153	0.1661925649
154	0.1659739633
155	0.1657119935
156	0.1654465716
157	0.1652050365
158	0.1649842403
159	0.1648042982
160	0.1645750091
161	0.1643682712
162	0.1641378285
163	0.1639316162
164	0.16369976
165	0.1635033285
166	0.1632984297
167	0.1630799441
168	0.1629050883
169	0.1626822522
170	0.1624758922
171	0.162304823
172	0.162119462
173	0.1619095934
174	0.1617528316
175	0.1615949125
176	0.161461854
177	0.1613022918
178	0.1611543506
179	0.1610156655
180	0.1608903405
181	0.1607511854
182	0.160574844
183	0.1603814724
184	0.1602014792
185	0.1600360743
186	0.1598969929
187	0.1597073664
188	0.1596166009
189	0.1594869255
190	0.1593546264
191	0.1591820549
192	0.1590518356
193	0.1588981519
194	0.1587365295
195	0.1585943273
196	0.1584416355
197	0.1583094623
198	0.1582161781
199	0.1581052087
200	0.1579641385
201	0.1578512577
202	0.1576994882
203	0.1575940319
204	0.1574840533
205	0.1573824194
206	0.1572869379
207	0.157177126
208	0.1570954974
209	0.1569942911
210	0.1568598304
211	0.1567355866
212	0.1566536772
213	0.156537069
214	0.1564127112
215	0.156330131
216	0.1562735792
217	0.1561475155
218	0.1560788575
219	0.1559832354
220	0.1558807418
221	0.1557770899
222	0.1556865791
223	0.155592576
224	0.1554736572
225	0.1553793876
226	0.1553020863
227	0.1552159314
228	0.1551048722
229	0.1549860781
230	0.1549148002
231	0.15484048
232	0.1547509453
233	0.1546629153
234	0.1545703343
235	0.1545033818
236	0.1544117778
237	0.1543407453
238	0.1542594911
239	0.1541914296
240	0.1540953128
241	0.1540200724
242	0.1539283525
243	0.153863892
244	0.1537946063
245	0.1537397928
246	0.1536738748
247	0.1535867868
248	0.1535057093
249	0.1534177162
250	0.1533460351
251	0.1532881661
252	0.1532395789
253	0.1531678406
254	0.1531030099
255	0.1530282352
256	0.1529615313
257	0.1528867068
258	0.1528385145
259	0.1527658796
260	0.1526959312
261	0.1526302465
262	0.152554027
263	0.1524857519
264	0.152436139
265	0.1523703519
266	0.1523058891
267	0.1522312104
268	0.1521623666
269	0.1521050732
270	0.152049377
271	0.1519876453
272	0.1519008159
273	0.151857129
274	0.1517864223
275	0.1517281458
276	0.151669483
277	0.1516014582
278	0.1515605988
279	0.1514724664
280	0.1513871356
281	0.1512933042
282	0.1512243837
283	0.1511474846
284	0.1510568735
285	0.1509816988
286	0.1508976274
287	0.1508239246
288	0.1507484774
289	0.1506715216
290	0.1506051022
291	0.1505387455
292	0.1504725835
293	0.1504166063
294	0.1503547277
295	0.1502896278
296	0.1502286661
297	0.1501762178
298	0.1501129115
299	0.1500576246
300	0.1499846535
301	0.1499162964
302	0.1498611128
303	0.1498048325
304	0.1497469326
305	0.1496884581
306	0.1496517904
307	0.1495986915
308	0.1495369769
309	0.1494881888
310	0.1494304806
311	0.1493744052
312	0.1493039262
313	0.1492321805
314	0.1491704991
315	0.1491239794
316	0.1490882737
317	0.1490322318
318	0.1489874981
319	0.148940882
320	0.1488915607
321	0.1488361475
322	0.1487999824
323	0.1487379634
324	0.1487000916
325	0.1486766715
326	0.1486476558
327	0.1485946147
328	0.1485410464
329	0.1485025177
330	0.1484467569
331	0.1483945082
332	0.1483393167
333	0.1482940617
334	0.1482622523
335	0.1482309539
336	0.1481860913
337	0.148137739
338	0.1480992389
339	0.1480589324
340	0.1480098978
341	0.1479643132
342	0.1479154379
343	0.1478742673
344	0.1478514437
345	0.1478276503
346	0.1477945438
347	0.1477638228
348	0.1477406106
349	0.1477066446
350	0.1476692982
351	0.1476256284
352	0.1475962121
353	0.1475618534
354	0.1475254158
355	0.1475016462
356	0.1474667113
357	0.14744118
358	0.1474169355
359	0.1473709605
360	0.1473288491
361	0.1472944956
362	0.1472684195
363	0.1472325623
364	0.1471988367
365	0.1471437884
366	0.147120022
367	0.1470931587
368	0.1470507621
369	0.1470209306
370	0.1469816803
371	0.146947443
372	0.1469109884
373	0.1468698176
374	0.1468247755
375	0.1467701575
376	0.1467257649
377	0.1467053912
378	0.1466875664
379	0.1466617975
380	0.1466220059
381	0.1465858198
382	0.1465616231
383	0.1465442014
384	0.1465195628
385	0.1464863879
386	0.1464625832
387	0.1464208411
388	0.1463888582
389	0.1463548634
390	0.1463325127
391	0.146312041
392	0.1462900093
393	0.1462609823
394	0.1462376183
395	0.1462072262
396	0.1461781156
397	0.1461477064
398	0.1461167127
399	0.1460724876
400	0.1460459072
401	0.1460007268
402	0.1459591324
403	0.1459162244
404	0.1458859225
405	0.1458549192
406	0.1458257819
407	0.145787059
408	0.1457432908
409	0.1457062136
410	0.1456669678
411	0.1456490716
412	0.1456339219
413	0.1456065534
414	0.1455781191
415	0.1455336511
416	0.1454795193
417	0.1454495977
418	0.1454146958
419	0.1453662283
420	0.145358445
421	0.145336907
422	0.1453127347
423	0.1452962976
424	0.1452574142
425	0.1452408522
426	0.1452117103
427	0.1451879131
428	0.1451701463
429	0.1451452597
430	0.145122082
431	0.1450950112
432	0.1450605931
433	0.1450283403
434	0.1449893731
435	0.1449643983
436	0.1449307664
437	0.1448940362
438	0.1448670159
439	0.1448498853
440	0.1448343125
441	0.1448004706
442	0.1447801319
443	0.1447636824
444	0.1447297631
445	0.1446895351
446	0.1446730505
447	0.1446551204
448	0.1446198817
449	0.1445994687
450	0.1445782419
451	0.1445443336
452	0.1445015809
453	0.1444742271
454	0.1444561288
455	0.1444436681
456	0.1444284628
457	0.1444169165
458	0.1443885984
459	0.144362263
460	0.1443315984
461	0.14431664
462	0.144287873
463	0.1442723883
464	0.1442304131
465	0.1441951296
466	0.1441708771
467	0.1441461207
468	0.1441310205
469	0.1441028586
470	0.1440716085
471	0.144054604
472	0.1440218261
473	0.1440024009
474	0.1439796113
475	0.1439595965
476	0.1439368238
477	0.1438996686
478	0.1438668714
479	0.1438364944
480	0.1438072268
481	0.1437728431
482	0.1437475969
483	0.1437167316
484	0.1436858925
485	0.1436574299
486	0.1436276585
487	0.1436116155
488	0.1435824806
489	0.1435534781
490	0.143519826
491	0.1434979268
492	0.1434681057
493	0.1434522101
494	0.1434313567
495	0.1434172465
496	0.1433909483
497	0.1433745117
498	0.1433640766
499	0.1433275874
500	0.1433068268
501	0.1432881551
502	0.1432771432
503	0.1432507531
504	0.1432268112
505	0.1432019807
506	0.1431608412
507	0.1431413753
508	0.1430930038
509	0.1430840555
510	0.1430603979
511	0.1430414106
512	0.1430231305
513	0.1430028598
514	0.1429820517
515	0.1429651231
516	0.1429394064
517	0.1429219475
518	0.1429009335
519	0.1428820164
520	0.1428503761
521	0.1428442053
522	0.1428227381
523	0.142800211
524	0.1427770389
525	0.1427488553
526	0.1427383384
527	0.1427069294
528	0.1426824324
529	0.1426568813
530	0.1426360909
531	0.1426143998
532	0.1426002478
533	0.1425854275
534	0.1425791149
535	0.1425696703
536	0.1425560491
537	0.1425276956
538	0.1425033647
539	0.1424850151
540	0.1424674615
541	0.1424445639
542	0.1424250483
543	0.1424028951
544	0.1423878077
545	0.1423662486
546	0.142358016
547	0.1423457895
548	0.1423348346
549	0.1423023787
550	0.1422883572
551	0.1422772649
552	0.1422481417
553	0.1422289889
554	0.1422165375
555	0.1422018062
556	0.1421905558
557	0.1421697549
558	0.142156272
559	0.1421441386
560	0.1421165776
561	0.1420994105
562	0.142079932
563	0.1420629134
564	0.1420512558
565	0.1420340862
566	0.1420158594
567	0.1420090934
568	0.1419891216
569	0.1419661415
570	0.1419428711
571	0.1419224592
572	0.1418908382
573	0.1418697641
574	0.1418477634
575	0.1418324075
576	0.1418107448
577	0.1417957483
578	0.1417816164
579	0.1417404539
580	0.1417212243
581	0.1417068768
582	0.141697254
583	0.1416778633
584	0.1416500386
585	0.1416251787
586	0.1416085042
587	0.1415931133
588	0.1415749939
589	0.141546246
590	0.1415271177
591	0.1414950939
592	0.1414781616
593	0.1414635458
594	0.1414409307
595	0.1414127201
596	0.1413922121
597	0.1413778265
598	0.1413628941
599	0.1413497286
600	0.1413444386
601	0.1413359539
602	0.1413252012
603	0.1413109255
604	0.141297306
605	0.1412791842
606	0.1412557217
607	0.1412420574
608	0.1412155213
609	0.1412037659
610	0.1411728064
611	0.1411423279
612	0.1411268754
613	0.1411009651
614	0.1410703778
615	0.1410501257
616	0.141025321
617	0.1410108468
618	0.1409895688
619	0.1409674636
620	0.1409526452
621	0.1409343602
622	0.1409235273
623	0.1409144918
624	0.1409037496
625	0.1408912127
626	0.1408811746
627	0.1408616957
628	0.1408408232
629	0.1408263711
630	0.1408173925
631	0.1407830234
632	0.1407591339
633	0.1407443315
634	0.1407306227
635	0.1407107331
636	0.1406827477
637	0.1406716673
638	0.1406691116
639	0.1406510845
640	0.1406385841
641	0.1406201115
642	0.1406028454
643	0.1405903334
644	0.1405640724
645	0.1405510428
646	0.1405323575
647	0.1405139936
648	0.1405044005
649	0.1404887436
650	0.1404628572
651	0.1404430995
652	0.1404160441
653	0.1403925116
654	0.1403738983
655	0.1403593142
656	0.1403429115
657	0.1403192009
658	0.1403025741
659	0.1402947551
660	0.1402795819
661	0.1402650104
662	0.1402465044
663	0.1402317612
664	0.1402054639
665	0.1401899829
666	0.1401733727
667	0.1401606159
668	0.1401384782
669	0.1401305606
670	0.1401059515
671	0.1400986932
672	0.1400799601
673	0.1400604398
674	0.1400519259
675	0.1400304601
676	0.1400089654
677	0.1400006517
678	0.1399923836
679	0.1399836234
680	0.139967503
681	0.1399549135
682	0.1399374907
683	0.1399164121
684	0.1398921462
685	0.139875686
686	0.1398689687
687	0.1398529188
688	0.139842526
689	0.1398175241
690	0.1398030188
691	0.1397866991
692	0.1397737865
693	0.1397667101
694	0.1397527608
695	0.1397334853
696	0.1397201454
697	0.1397106674
698	0.1396941503
699	0.1396680488
700	0.1396591442
701	0.1396442018
702	0.1396229804
703	0.1396110676
704	0.1395927339
705	0.1395609959
706	0.1395438982
707	0.1395205185
708	0.139501332
709	0.139490658
710	0.1394665191
711	0.1394571821
712	0.1394469961
713	0.1394316591
714	0.1394234314
715	0.139408954
716	0.1394033831
717	0.1393967718
718	0.1393782619
719	0.1393691951
720	0.1393619185
721	0.1393397797
722	0.1393266023
723	0.1393004791
724	0.1392851424
725	0.1392733906
726	0.1392600242
727	0.1392403433
728	0.1392320346
729	0.1392191318
730	0.1392027495
731	0.1391948881
732	0.1391880116
733	0.1391791291
734	0.1391643085
735	0.1391512234
736	0.1391297013
737	0.1391218054
738	0.1391060329
739	0.1390851604
740	0.139076107
741	0.1390581565
742	0.1390367636
743	0.1390179827
744	0.1390080066
745	0.1390060488
746	0.1389981403
747	0.1389933307
748	0.138979606
749	0.1389581305
750	0.1389478944
751	0.1389219748
752	0.1388984027
753	0.1388779171
754	0.1388647571
755	0.1388552721
756	0.1388436883
757	0.1388262126
758	0.1388181747
759	0.1387932912
760	0.1387706389
761	0.1387509292
762	0.1387432511
763	0.1387410174
764	0.1387280384
765	0.1387248869
766	0.1387170405
767	0.1387059711
768	0.13868886
769	0.13866605
770	0.1386512723
771	0.138632672
772	0.1386213844
773	0.1386174776
774	0.1385983895
775	0.1385846197
776	0.1385731712
777	0.1385517135
778	0.138543254
779	0.1385367794
780	0.1385161377
781	0.1385068991
782	0.1384858822
783	0.1384682397
784	0.1384582209
785	0.1384505442
786	0.1384335141
787	0.1384202474
788	0.1384088281
789	0.1383976222
790	0.1383761596
791	0.1383548975
792	0.1383471386
793	0.1383424759
794	0.1383390588
795	0.1383325134
796	0.1383273647
797	0.1383110968
798	0.1383032665
799	0.1382916617
800	0.1382759791
801	0.1382533657
802	0.1382445427
803	0.1382295695
804	0.1382109912
805	0.1381936301
806	0.1381779431
807	0.1381693974
808	0.1381617056
809	0.1381367443
810	0.1381119499
811	0.1380917647
812	0.1380737019
813	0.1380560632
814	0.1380495093
815	0.138031391
816	0.1380275586
817	0.1380178912
818	0.138006202
819	0.1379936068
820	0.1379804311
821	0.1379654903
822	0.1379492069
823	0.1379425068
824	0.1379382856
825	0.1379304057
826	0.1379069701
827	0.1378879581
828	0.137873204
829	0.1378603803
830	0.1378498422
831	0.1378441077
832	0.1378384782
833	0.1378249827
834	0.1378107977
835	0.1377908097
836	0.1377781371
837	0.1377738432
838	0.1377578446
839	0.1377495208
840	0.1377434892
841	0.1377228343
842	0.1377140569
843	0.1377008262
844	0.1376817542
845	0.137666019
846	0.1376598563
847	0.1376566632
848	0.1376450782
849	0.137633505
850	0.137623604
851	0.1376103361
852	0.1375951986
853	0.137589035
854	0.1375663334
855	0.1375596697
856	0.1375498566
857	0.1375353998
858	0.1375237885
859	0.1375128489
860	0.1375093511
861	0.1374988597
862	0.1374870146
863	0.1374760619
864	0.1374705746
865	0.1374528892
866	0.1374347495
867	0.1374229231
868	0.1374035198
869	0.1373845724
870	0.1373674438
871	0.1373566565
872	0.1373346332
873	0.1373237323
874	0.1373051586
875	0.137296841
876	0.1372871463
877	0.1372637692
878	0.1372530757
879	0.137246437
880	0.1372271627
881	0.1372121457
882	0.1371954881
883	0.137187594
884	0.1371704979
885	0.1371599465
886	0.137149607
887	0.1371283196
888	0.1371176321
889	0.1371118689
890	0.1370982901
891	0.1370860613
892	0.1370717547
893	0.1370688195
894	0.1370603283
895	0.1370543463
896	0.1370347828
897	0.1370084924
898	0.1369968627
899	0.1369934787
900	0.1369805509
901	0.1369730179
902	0.1369656352
903	0.1369559739
904	0.1369426119
905	0.1369310226
906	0.1369221499
907	0.1369153108
908	0.1369122767
909	0.1369028529
910	0.1368983428
911	0.1368872321
912	0.1368734113
913	0.1368676585
914	0.1368596107
915	0.1368447581
916	0.1368241345
917	0.1368193739
